window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
1,C7,C5,0.20095033715437577,0.22352215107308063,C7→C5,mutualism,C-C,m1
1,C8,C5,0.26500675735382295,0.29012292968850245,C8→C5,mutualism,C-C,m1
1,C9,C5,0.30832724530407357,0.3376686936842765,C9→C5,mutualism,C-C,m1
1,C5,C6,0.19788638827260135,0.17824853448646455,C5→C6,mutualism,C-C,m1
1,C5,C7,0.22352215107308063,0.20095033715437577,C5→C7,mutualism,C-C,m1
1,C5,C8,0.29012292968850245,0.26500675735382295,C5→C8,mutualism,C-C,m1
1,C8,C8,-0.3289056103205117,-0.3289056103205117,C8→C8,competition,C-C,m1
1,C9,C8,-0.38267160357643426,-0.3828071359323455,C9→C8,competition,C-C,m1
1,C5,C9,0.3376686936842765,0.30832724530407357,C5→C9,mutualism,C-C,m1
1,C8,C9,-0.3828071359323455,-0.38267160357643426,C8→C9,competition,C-C,m1
1,C9,C9,-0.44538437767899985,-0.44538437767899985,C9→C9,competition,C-C,m1
1,C5,Paenibacillaceae,0.21071186013418025,0.18840766530495529,C5→Paenibacillaceae,mutualism,C-focal,m1
2,C5,C2,0.6069241526722807,0.0904432721036226,C5→C2,mutualism,C-C,m1
2,C5,C3,0.44249052467744504,0.10663946116611411,C5→C3,mutualism,C-C,m1
2,C5,C4,0.6542792743434434,-0.08497493814609387,C5→C4,antagonism,C-C,m1
2,C5,C6,0.7236452454605474,0.07612118948873446,C5→C6,mutualism,C-C,m1
2,C5,C7,0.8276906484138793,0.07786834600102513,C5→C7,mutualism,C-C,m1
2,C5,C8,0.9638752356189696,0.14483803731574496,C5→C8,mutualism,C-C,m1
2,C9,C8,-0.7051359689552635,-0.6961214860598521,C9→C8,competition,C-C,m1
2,C5,C9,1.1247207812297702,0.1520372446969,C5→C9,mutualism,C-C,m1
2,C8,C9,-0.6961214860598521,-0.7051359689552635,C8→C9,competition,C-C,m1
2,C9,C9,-0.8229400719481222,-0.8229400719481222,C9→C9,competition,C-C,m1
2,C5,Paenibacillaceae,0.8073539019982652,0.07768317384789612,C5→Paenibacillaceae,mutualism,C-focal,m1
3,C7,C2,-0.7403341828876141,-0.1539342257493272,C7→C2,competition,C-C,m1
3,C9,C2,-0.9589545555620116,-0.22014315899262915,C9→C2,competition,C-C,m1
3,C7,C3,-0.6939824535959767,-0.15573146972713112,C7→C3,competition,C-C,m1
3,C9,C3,-0.8817215099183641,-0.22582356941410908,C9→C3,competition,C-C,m1
3,C3,C4,0.4748739250473787,0.04811423792587277,C3→C4,mutualism,C-C,m1
3,C6,C4,-0.7254886697616794,0.17188930279877038,C6→C4,antagonism,C-C,m1
3,C7,C4,-1.2084560525170218,0.21943777592677524,C7→C4,antagonism,C-C,m1
3,C9,C4,-1.5003433952476404,0.2886871013519196,C9→C4,antagonism,C-C,m1
3,C5,C6,0.4375367387877177,-0.174409872269262,C5→C6,antagonism,C-C,m1
3,C9,C6,-0.6033249990053621,-0.29892184682670025,C9→C6,competition,C-C,m1
3,C5,C7,0.5300414951438086,-0.36002148373152415,C5→C7,antagonism,C-C,m1
3,C5,C8,0.5441993792218439,0.0625303979695577,C5→C8,mutualism,C-C,m1
3,C7,C8,-0.8385381426429144,-0.3064309931572331,C7→C8,competition,C-C,m1
